 lab, yss, p.raw, p.adj, p.025, p.975
 0-2,   2,  .288,  .383,  .275,  .491
 3-5,   5,  .313,  .321,  .236,  .407
6-10,  10,  .262,  .202,  .132,  .271
 11+,  99,  .137,  .094,  .044,  .144
