year, yss, p.raw, p.adj, p.025, p.975
2011,   2,  .288,  .383,  .275,  .491
2011,   5,  .313,  .321,  .236,  .407
2011,  10,  .262,  .202,  .132,  .271
2011,  99,  .137,  .094,  .044,  .144
